Code_commune_INSEE,Nom_commune,Code_postal,Ligne_5,Libellé_d_acheminement,coordonnees_gps
"75106,PARIS 06,75006,,PARIS,""48.8489680919,2.33267089859"""
"75112,PARIS 12,75012,,PARIS,""48.8351562307,2.41980703497"""
"75113,PARIS 13,75013,,PARIS,""48.8287176845,2.36246822852"""
"75118,PARIS 18,75018,,PARIS,""48.8927350746,2.34871193387"""
"75102,PARIS 02,75002,,PARIS,""48.8679033789,2.34410716666"""
"75103,PARIS 03,75003,,PARIS,""48.8630541318,2.35936105897"""
"75108,PARIS 08,75008,,PARIS,""48.8725272666,2.31258256042"""
"75114,PARIS 14,75014,,PARIS,""48.8289932116,2.32710088326"""
"75116,PARIS 16,75016,,PARIS,""48.8603987604,2.2620995594"""
"75117,PARIS 17,75017,,PARIS,""48.8873371665,2.30748555949"""
"75119,PARIS 19,75019,,PARIS,""48.886868623,2.38469432787"""
"75104,PARIS 04,75004,,PARIS,""48.854228282,2.35736193814"""
"75107,PARIS 07,75007,,PARIS,""48.8560825982,2.31243868773"""
"75111,PARIS 11,75011,,PARIS,""48.8594154976,2.37874106024"""
"75115,PARIS 15,75015,,PARIS,""48.8401554186,2.29355937244"""
"75120,PARIS 20,75020,,PARIS,""48.8631867774,2.40081982673"""
"75101,PARIS 01,75001,,PARIS,""48.8626304852,2.33629344655"""
"75105,PARIS 05,75005,,PARIS,""48.8445086596,2.34985938556"""
"75109,PARIS 09,75009,,PARIS,""48.8768961624,2.33746024139"""
"75110,PARIS 10,75010,,PARIS,""48.8760285569,2.36111290456"""
